year,quarter,period_end,region_code,org_code,org_name,sector,available_beds,occupied_beds,occupancy_rate
2025-26,Q2,September,Y63,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,General & Acute,599.9891304347826,501.5978260869565,83.60115219478614
2025-26,Q2,September,Y63,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,General & Acute,570.9891304347826,528.3260869565217,92.52822143115493
2025-26,Q2,September,Y63,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,General & Acute,728.3478260869565,679.554347826087,93.30079990448903
2025-26,Q2,September,Y63,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,General & Acute,436.1521739130435,408.79347826086956,93.72725913372875
2025-26,Q2,September,Y63,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,General & Acute,1711.3152173913043,1601.2173913043478,93.56647887145026
2025-26,Q2,September,Y63,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,General & Acute,1464.891304347826,1196.2065217391305,81.65838094531425
2025-26,Q2,September,Y63,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,General & Acute,834.6739130434783,720.0108695652174,86.26253418413856
2025-26,Q2,September,Y63,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,General & Acute,926.4565217391304,819.7065217391304,88.4776028345496
2025-26,Q2,September,Y63,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,General & Acute,507.70652173913044,456.3369565217391,89.88203558200775
2025-26,Q2,September,Y63,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,General & Acute,1136.0434782608695,1035.6521739130435,91.16307550996977
2025-26,Q2,September,Y63,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,General & Acute,737.1521739130435,630.2826086956521,85.50237400100268
2025-26,Q2,September,Y63,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",General & Acute,49.0,44.66304347826087,91.14906832298136
2025-26,Q2,September,Y63,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,General & Acute,56.08695652173913,48.92391304347826,87.22868217054263
2025-26,Q2,September,Y63,RXF,MID YORKSHIRE TEACHING NHS TRUST,General & Acute,1059.8369565217392,935.7608695652174,88.29290805599712
2025-26,Q2,September,Y63,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,General & Acute,24.0,15.706521739130435,65.44384057971014
2025-26,Q2,September,Y63,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,General & Acute,919.9565217391304,854.945652173913,92.93326716763552
2025-26,Q2,September,Y59,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,General & Acute,763.25,695.75,91.15623976416639
